Id,y
50100,1.9034007
50101,2.1464632
50102,1.5622678
50103,2.4185526
50104,1.7263634
50105,1.5104074
50106,2.1525903
50107,2.3413389
50108,1.9195398
50109,1.8360655
50110,1.5701585
50111,1.7782075
50112,1.6376758
50113,1.674789
50114,1.6896052
50115,2.1253963
50116,1.5338657
50117,1.9511211
50118,2.2459033
50119,1.7386093
50120,2.146527
50121,2.1978807
50122,1.0416543
50123,2.1210003
50124,1.6121769
50125,2.1578054
50126,1.5293372
50127,1.8471937
50128,1.485704
50129,1.8850114
50130,2.089931
50131,2.2900844
50132,1.6456764
50133,1.7564929
50134,1.7734762
50135,2.0236356
50136,1.550169
50137,1.8615948
50138,1.6861036
50139,1.8356743
50140,2.0141819
50141,2.49928
50142,1.8968508
50143,1.4746835
50144,1.8817408
50145,2.161322
50146,1.7246622
50147,2.2384403
50148,1.8992107
50149,1.6572042
50150,1.3889441
50151,1.5846467
50152,1.6104674
50153,2.1229382
50154,1.8907062
50155,2.2537293
50156,2.018303
50157,1.127754
50158,1.9600713
50159,1.2310808
50160,1.6121917
50161,2.3198934
50162,2.4868433
50163,2.1914554
50164,1.7946038
50165,1.2119503
50166,1.5078726
50167,1.7801801
50168,1.783256
50169,1.0257797
50170,1.8498385
50171,2.3228393
50172,1.5303707
50173,2.1554947
50174,2.1793833
50175,1.4879928
50176,2.4869757
50177,2.3027558
50178,2.2310576
50179,1.8796769
50180,2.4306922
50181,1.848455
50182,2.0255744
50183,1.4770334
50184,2.4703324
50185,1.6224971
50186,2.0933416
50187,2.4525487
50188,2.194502
50189,2.185357
50190,2.3294175
50191,2.1543207
50192,2.1576781
50193,2.3402946
50194,1.763914
50195,1.7321856
50196,2.1196976
50197,2.0050187
50198,2.0036082
50199,2.356501
50200,1.7244806
50201,2.6700296
50202,1.6124935
50203,1.830645
50204,1.6345868
50205,1.4479334
50206,1.9632725
50207,2.0151103
50208,1.759285
50209,1.6722472
50210,2.0079565
50211,1.4531596
50212,2.0150902
50213,2.3483038
50214,1.9539384
50215,1.3243313
50216,1.3237734
50217,1.6846266
50218,1.7668564
50219,2.2280204
50220,2.6101234
50221,2.1864545
50222,2.1388664
50223,1.9051167
50224,1.5948687
50225,2.2798007
50226,1.6994658
50227,2.3634915
50228,1.7774067
50229,2.0746276
50230,1.8919439
50231,1.6805899
50232,2.2699838
50233,2.386936
50234,1.7016454
50235,1.3860135
50236,1.5828667
50237,1.7134051
50238,1.66486
50239,2.049175
50240,2.004798
50241,1.1488819
50242,2.2512481
50243,1.8164809
50244,1.386292
50245,1.796879
50246,2.3092704
50247,1.2271147
50248,2.7295156
50249,2.3300567
50250,2.118707
50251,1.6849425
50252,2.3592591
50253,2.1706955
50254,1.8050134
50255,1.6697721
50256,2.195091
50257,1.9765749
50258,1.6898758
50259,2.1026573
50260,1.0581181
50261,2.2661815
50262,1.6041183
50263,1.8641728
50264,1.1563597
50265,1.7214339
50266,1.8012673
50267,2.394906
50268,1.9381309
50269,1.8101025
50270,2.2943606
50271,1.9687771
50272,2.181651
50273,2.2498908
50274,2.0872383
50275,1.3823824
50276,2.2124643
50277,1.7174792
50278,1.5431952
50279,1.7708601
50280,2.1512809
50281,1.4276803
50282,2.4594097
50283,2.134067
50284,1.8461552
50285,1.4889708
50286,1.8318723
50287,2.397427
50288,2.290845
50289,1.5605702
50290,2.1078007
50291,2.4790864
50292,1.5884957
50293,2.4654064
50294,1.5599966
50295,1.7790234
50296,2.4215724
50297,1.7801745
50298,2.0760033
50299,2.2659416
50300,1.7987765
50301,1.9311714
